title,genre_ids,year,original_language,TMDb_Rating
Avatar,"[28, 12, 14, 878]",2009,en,7.2
Pirates of the Caribbean: At World's End,"[12, 14, 28]",2007,en,6.9
Spectre,"[28, 12, 80]",2015,en,6.3
The Dark Knight Rises,"[28, 80, 18, 53]",2012,en,7.6
John Carter,"[28, 12, 878]",2012,en,6.1
Spider-Man 3,"[14, 28, 12]",2007,en,5.9
Tangled,"[16, 10751]",2010,en,7.4
Avengers: Age of Ultron,"[28, 12, 878]",2015,en,7.3
Harry Potter and the Half-Blood Prince,"[12, 14, 10751]",2009,en,7.4
Batman v Superman: Dawn of Justice,"[28, 12, 14]",2016,en,5.7
Superman Returns,"[12, 14, 28, 878]",2006,en,5.4
Quantum of Solace,"[12, 28, 53, 80]",2008,en,6.1
Pirates of the Caribbean: Dead Man's Chest,"[12, 14, 28]",2006,en,7.0
The Lone Ranger,"[28, 12, 37]",2013,en,5.9
Man of Steel,"[28, 12, 14, 878]",2013,en,6.5
The Chronicles of Narnia: Prince Caspian,"[12, 10751, 14]",2008,en,6.3
The Avengers,"[878, 28, 12]",2012,en,7.4
Pirates of the Caribbean: On Stranger Tides,"[12, 28, 14]",2011,en,6.4
Men in Black 3,"[28, 35, 878]",2012,en,6.2
The Hobbit: The Battle of the Five Armies,"[28, 12, 14]",2014,en,7.1
The Amazing Spider-Man,"[28, 12, 14]",2012,en,6.5
Robin Hood,"[28, 12]",2010,en,6.2
The Hobbit: The Desolation of Smaug,"[12, 14]",2013,en,7.6
The Golden Compass,"[12, 14]",2007,en,5.8
King Kong,"[12, 18, 28]",2005,en,6.6
Titanic,"[18, 10749, 53]",1997,en,7.5
Captain America: Civil War,"[12, 28, 878]",2016,en,7.1
Battleship,"[53, 28, 12, 878]",2012,en,5.5
Jurassic World,"[28, 12, 878, 53]",2015,en,6.5
Skyfall,"[28, 12, 53]",2012,en,6.9
Spider-Man 2,"[28, 12, 14]",2004,en,6.7
Iron Man 3,"[28, 12, 878]",2013,en,6.8
Alice in Wonderland,"[10751, 14, 12]",2010,en,6.4
X-Men: The Last Stand,"[12, 28, 878, 53]",2006,en,6.3
Monsters University,"[16, 10751]",2013,en,7.0
Transformers: Revenge of the Fallen,"[878, 28, 12]",2009,en,6.0
Transformers: Age of Extinction,"[878, 28, 12]",2014,en,5.8
Oz: The Great and Powerful,"[14, 12, 10751]",2013,en,5.7
The Amazing Spider-Man 2,"[28, 12, 14]",2014,en,6.5
TRON: Legacy,"[12, 28, 878]",2010,en,6.3
Cars 2,"[16, 10751, 12, 35]",2011,en,5.8
Green Lantern,"[12, 28, 53, 878]",2011,en,5.1
Toy Story 3,"[16, 10751, 35]",2010,en,7.6
Terminator Salvation,"[28, 878, 53]",2009,en,5.9
Furious 7,[28],2015,en,7.3
World War Z,"[28, 18, 27, 878, 53]",2013,en,6.7
